Metric		Current
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		61
DUPLICATION_NUMBER_OF_CLEANED_LINES		2,390
DUPLICATION_PERCENTAGE		2.55
UNIT_DUPLICATES_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_FRONTEND		61
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_FRONTEND		61
DUPLICATION_PERCENTAGE_PRIMARY_FRONTEND		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_BACKEND		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_BACKEND		0
DUPLICATION_PERCENTAGE_PRIMARY_BACKEND		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_NEXT_VITEST_APP		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_NEXT_VITEST_APP		0
DUPLICATION_PERCENTAGE_PRIMARY_NEXT_VITEST_APP		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JSX		61
DUPLICATION_NUMBER_OF_CLEANED_LINES_JSX		856
DUPLICATION_PERCENTAGE_JSX		7.13
TOTAL_ANALYSIS_TIME_IN_MILLIS		8,988
